Movie Title,Release Year,Duration,Rating,IMDb Rating,IMDb Votes
84. Once Upon a Time in America,1984,3h 49m,R,8.3 (372K), (372K)
85. 3 Idiots,2009,2h 50m,PG-13,8.4 (425K), (425K)
86. Tengoku to jigoku,1963,2h 23m,Not Rated,8.4 (51K), (51K)
87. Singin' in the Rain,1952,1h 43m,G,8.3 (257K), (257K)
88. Capharnaüm,2018,2h 6m,R,8.4 (102K), (102K)
89. Requiem for a Dream,2000,1h 42m,Unrated,8.3 (886K), (886K)
90. Idi i smotri,1985,2h 22m,Not Rated,8.4 (93K), (93K)
91. Toy Story 3,2010,1h 43m,G,8.3 (880K), (880K)
92. Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3 (1.1M), (1.1M)
93. Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3 (1.1M), (1.1M)
94. Jagten,2012,1h 55m,R,8.3 (357K), (357K)
95. 2001: A Space Odyssey,1968,2h 29m,G,8.3 (708K), (708K)
96. Reservoir Dogs,1992,1h 39m,R,8.3 (1.1M), (1.1M)
97. Ikiru,1952,2h 23m,Not Rated,8.3 (86K), (86K)
98. Lawrence of Arabia,1962,3h 38m,Approved,8.3 (309K), (309K)
99. The Apartment,1960,2h 5m,Approved,8.3 (193K), (193K)
100. Citizen Kane,1941,1h 59m,PG,8.3 (461K), (461K)
101. M - Eine Stadt sucht einen Mörder,1931,1h 57m,Passed,8.3 (166K), (166K)
102. North by Northwest,1959,2h 16m,Approved,8.3 (342K), (342K)
103. Vertigo,1958,2h 8m,PG,8.3 (421K), (421K)
104. Double Indemnity,1944,1h 47m,Passed,8.3 (165K), (165K)
105. Scarface,1983,2h 50m,18+,8.3 (899K), (899K)
106. Le fabuleux destin d'Amélie Poulain,2001,2h 2m,R,8.3 (786K), (786K)
107. Full Metal Jacket,1987,1h 56m,R,8.3 (779K), (779K)
108. Incendies,2010,2h 11m,R,8.3 (193K), (193K)
109. A Clockwork Orange,1971,2h 16m,X,8.3 (870K), (870K)
110. Heat,1995,2h 50m,R,8.3 (705K), (705K)
111. Up,2009,1h 36m,PG,8.3 (1.1M), (1.1M)
112. To Kill a Mockingbird,1962,2h 9m,Approved,8.3 (329K), (329K)
113. The Sting,1973,2h 9m,PG,8.3 (276K), (276K)
114. Jodaeiye Nader az Simin,2011,2h 3m,PG-13,8.3 (255K), (255K)
115. Hamilton,2020,2h 40m,PG-13,8.3 (109K), (109K)
116. Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2 (801K), (801K)
117. Die Hard,1988,2h 12m,R,8.2 (932K), (932K)
